kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
9,nedelja,10/20/19,6:30 PM,8,Athletic,13,Real Valladolid,1,1
9,nedelja,10/20/19,9:00 PM,5,Sevilla FC,10,Levante,1,0
10,petek,10/25/19,9:00 PM,7,Villarreal,12,Alavés,4,1
10,sobota,10/26/19,4:00 PM,20,CD Leganés,15,RCD Mallorca,1,0
10,sobota,10/26/19,6:30 PM,14,Real Valladolid,16,SD Eibar,2,0
10,sobota,10/26/19,9:00 PM,6,Atlético Madrid,10,Athletic,2,0
10,nedelja,10/27/19,12:00 PM,18,Celta de Vigo,4,Real Sociedad,0,1
10,nedelja,10/27/19,2:00 PM,3,Granada CF,17,Real Betis,1,0
10,nedelja,10/27/19,4:00 PM,11,Levante,19,Espanyol,0,1
10,nedelja,10/27/19,6:30 PM,5,Sevilla FC,9,Getafe,2,0
10,nedelja,10/27/19,9:00 PM,13,CA Osasuna,8,Valencia,3,1
10,sreda,12/18/19,8:00 PM,1,FC Barcelona,2,Real Madrid,0,0
11,torek,10/29/19,7:00 PM,13,Alavés,6,Atlético Madrid,1,1
11,torek,10/29/19,9:15 PM,2,FC Barcelona,9,Real Valladolid,5,1
11,sreda,10/30/19,7:00 PM,4,Real Sociedad,14,Levante,1,2
11,sreda,10/30/19,7:00 PM,10,Valencia,5,Sevilla FC,1,1
11,sreda,10/30/19,8:00 PM,12,Athletic,19,Espanyol,3,0
11,sreda,10/30/19,9:00 PM,17,Real Betis,18,Celta de Vigo,2,1
11,sreda,10/30/19,9:15 PM,3,Real Madrid,20,CD Leganés,5,0
11,četrtek,10/31/19,7:00 PM,16,SD Eibar,7,Villarreal,2,1
11,četrtek,10/31/19,7:00 PM,15,RCD Mallorca,8,CA Osasuna,2,2
11,četrtek,10/31/19,9:15 PM,11,Getafe,1,Granada CF,3,1
12,sobota,11/2/19,1:00 PM,19,Espanyol,11,Valencia,1,2
12,sobota,11/2/19,4:00 PM,12,Levante,1,FC Barcelona,3,1
12,sobota,11/2/19,6:30 PM,4,Sevilla FC,3,Atlético Madrid,1,1
