kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
19,nedelja,1/12/20,6:00 PM,276,11,Hellas Verona,252,18,Genoa,2,3,1,0,7,11,18,0
19,nedelja,1/12/20,8:45 PM,12,4,AS Roma,506,1,Juventus,1,0,2,3,3,1,4,0
19,ponedeljek,1/13/20,8:45 PM,130,7,Parma,1005,17,Lecce,2,3,0,0,10,7,17,0
20,sobota,1/18/20,3:00 PM,398,3,Lazio,1038,16,Sampdoria,5,3,1,0,13,3,16,0
20,sobota,1/18/20,6:00 PM,6574,15,Sassuolo,416,8,Torino,2,3,1,0,7,8,15,0
20,sobota,1/18/20,8:45 PM,6195,11,SSC Napoli,430,14,Fiorentina,0,0,2,3,3,11,14,0
20,nedelja,1/19/20,12:30 PM,5,10,AC Milan,410,12,Udinese Calcio,3,3,2,0,2,10,12,0
20,nedelja,1/19/20,3:00 PM,19,19,Brescia,1390,6,Cagliari Calcio,2,1,2,1,13,6,19,1
20,nedelja,1/19/20,3:00 PM,1025,13,Bologna,276,9,Hellas Verona,1,1,1,1,4,9,13,1
20,nedelja,1/19/20,3:00 PM,1005,17,Lecce,46,2,Inter,1,1,1,1,15,2,17,1
20,nedelja,1/19/20,6:00 PM,252,18,Genoa,12,5,AS Roma,1,0,3,3,13,5,18,0
20,nedelja,1/19/20,8:45 PM,506,1,Juventus,130,7,Parma,2,3,1,0,6,1,7,0
20,ponedeljek,1/20/20,8:45 PM,800,4,Atalanta,2722,20,SPAL,1,0,2,3,16,4,20,0
21,petek,1/24/20,8:45 PM,19,18,Brescia,5,7,AC Milan,0,0,1,3,11,7,18,0
21,sobota,1/25/20,3:00 PM,2722,19,SPAL,1025,12,Bologna,1,0,3,3,7,12,19,0
21,sobota,1/25/20,6:00 PM,430,11,Fiorentina,252,20,Genoa,0,1,0,1,9,11,20,1
21,sobota,1/25/20,8:45 PM,416,9,Torino,800,5,Atalanta,0,0,7,3,4,5,9,0
21,nedelja,1/26/20,12:30 PM,46,2,Inter,1390,6,Cagliari Calcio,1,1,1,1,4,2,6,1
21,nedelja,1/26/20,3:00 PM,276,10,Hellas Verona,1005,17,Lecce,3,3,0,0,7,10,17,0
21,nedelja,1/26/20,3:00 PM,1038,16,Sampdoria,6574,15,Sassuolo,0,1,0,1,1,15,16,1
21,nedelja,1/26/20,3:00 PM,130,8,Parma,410,13,Udinese Calcio,2,3,0,0,5,8,13,0
21,nedelja,1/26/20,6:00 PM,12,4,AS Roma,398,3,Lazio,1,1,1,1,1,3,4,1
21,nedelja,1/26/20,8:45 PM,6195,14,SSC Napoli,506,1,Juventus,2,3,1,0,13,1,14,0
22,sobota,2/1/20,3:00 PM,1025,11,Bologna,19,19,Brescia,2,3,1,0,8,11,19,0
22,sobota,2/1/20,6:00 PM,1390,7,Cagliari Calcio,130,8,Parma,2,1,2,1,1,7,8,1
22,sobota,2/1/20,8:45 PM,6574,15,Sassuolo,12,4,AS Roma,4,3,2,0,11,4,15,0
22,nedelja,2/2/20,12:30 PM,506,1,Juventus,430,13,Fiorentina,3,3,0,0,12,1,13,0
22,nedelja,2/2/20,3:00 PM,800,5,Atalanta,252,18,Genoa,2,1,2,1,13,5,18,1
22,nedelja,2/2/20,3:00 PM,5,6,AC Milan,276,9,Hellas Verona,1,1,1,1,3,6,9,1
22,nedelja,2/2/20,3:00 PM,398,3,Lazio,2722,20,SPAL,5,3,1,0,17,3,20,0
22,nedelja,2/2/20,6:00 PM,1005,17,Lecce,416,10,Torino,4,3,0,0,7,10,17,0
22,nedelja,2/2/20,8:45 PM,410,14,Udinese Calcio,46,2,Inter,0,0,2,3,12,2,14,0
22,ponedeljek,2/3/20,8:45 PM,1038,16,Sampdoria,6195,12,SSC Napoli,2,0,4,3,4,12,16,0
23,petek,2/7/20,8:45 PM,12,5,AS Roma,1025,10,Bologna,2,0,3,3,5,5,10,0
23,sobota,2/8/20,3:00 PM,430,14,Fiorentina,800,4,Atalanta,1,0,2,3,10,4,14,0
